"","icpsr.state.code","icpsr.county.code","name","year","totpop","urb25","mfgestab","nonwhitepct","fmratio","forbornpct","rentownratio","irishbornpct","area","popdens","litvappct","urb25pct","dtotpop","darea","durb25","dmfgestab","dnonwhitepct","dfmratio","dforbornpct","drentownratio","dpopdens","dlitvappct","dirishbornpct","durb25pct"
"90",24,1130,"MONTGOMERY",1900,130146,85333,1361,0.03092681,0.925493,0.1099688,1.443909,0.01723449,462,281.7013,0.9790887,0.6556713,0.2904652,NA,0.3938746,0.2949572,0.006256992,0.02910147,-0.03573976,0.1976852,NA,NA,-0.008050085,0.0486432
"162",24,1130,"MONTGOMERY",1910,163763,116577,NA,0.03364618,0.9243822,0.100963,1.432626,0.008958067,455,359.9187,0.9667696,0.7118641,0.2583022,-0.01515152,0.3661421,NA,0.002719379,-0.001110849,-0.009005827,-0.01128275,78.21738,-0.01231908,-0.008276423,0.05619277
"234",24,1130,"MONTGOMERY",1920,209532,152559,670,0.04846038,0.9433861,0.07377871,1.120132,0.004543459,455,460.5099,0.6359983,0.728094,0.2794832,0,0.3086544,NA,0.01481419,0.01900389,-0.02718427,-0.3124941,100.5912,-0.3307713,-0.004414609,0.01622994
"306",24,1130,"MONTGOMERY",1930,273481,200982,521,0.06728804,0.9795373,0.05139297,0.8908562,0.001799028,455,601.0571,0.8210808,0.734903,0.3051992,0,0.3174051,-0.2223881,0.01882766,0.03615125,-0.02238574,-0.2292759,140.5473,0.1850825,-0.002744431,0.006808935
"378",24,1130,"MONTGOMERY",1940,295480,210718,461,0.07436713,1.000135,0.0387099,1.1347,0.001242047,465,635.4409,NA,0.7131379,0.08044069,0.02197802,0.04844215,-0.1151631,0.007079093,0.02059805,-0.01268307,0.2438442,34.38372,NA,-0.0005569812,-0.02176503
"450",24,1130,"MONTGOMERY",1950,398441,243872,NA,0.09462882,1.035282,0.02707302,NA,0.0007880715,465,856.8624,NA,0.6120655,0.3484534,0,0.1573382,NA,0.02026168,0.03514636,-0.01163688,NA,221.4215,NA,-0.0004539753,-0.1010724
"50",49,1130,"DALLAS",1890,67042,38067,348,0.1677605,0.8306982,0.07268578,2.533032,0.009993735,NA,NA,NA,0.5678082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",49,1130,"DALLAS",1900,82726,42638,489,0.1652927,0.9446638,0.05081836,1.809785,0.005536349,900,91.91778,0.9632113,0.5154123,0.2339429,NA,0.1200778,0.4051724,-0.002467855,0.1139656,-0.02186741,-0.7232471,NA,NA,-0.004457386,-0.05239591
"193",49,1130,"DALLAS",1910,135748,92104,NA,0.1798185,0.949954,0.04568023,1.710955,0.003226567,859,158.0303,0.9474131,0.6784925,0.6409351,-0.04555556,1.160139,NA,0.01452583,0.005290188,-0.005138133,-0.09883069,66.11249,-0.01579823,-0.002309782,0.1630802
"265",49,1130,"DALLAS",1920,210551,158976,492,0.1495552,0.9760584,0.04938471,1.597765,0.00179529,859,245.1118,0.5897004,0.7550475,0.5510431,0,0.7260488,NA,-0.03026327,0.02610438,0.003704479,-0.1131899,87.08149,-0.3577127,-0.001431277,0.07655497
